title,company,salary,location,job_type,apply_link
Junior Project Coordinator,C4Media Inc.,Competitive,"Brazil, Argentina",graduate,https://remotive.com/remote-jobs/project-management/junior-project-coordinator-2088663
Werkstudent Executive Assistant Technology & Operations (m/w/d),relyon AG,Competitive,Tübingen,graduate,https://www.arbeitnow.com/jobs/companies/relyon-ag/werkstudent-executive-assistant-technology-operations-tubingen-496755
Werkstudent (m/w/d) Online Marketing & Performance Marketing,Sali Consulting GmbH,Competitive,Leipzig,graduate,https://www.arbeitnow.com/jobs/companies/sali-consulting-gmbh/werkstudent-online-marketing-performance-marketing-leipzig-184380
Werkstudent / Praktikum Social Media Content Creator (Short Videos) (m/w/d),Mivodo,Competitive,Hamburg,graduate,https://www.arbeitnow.com/jobs/companies/mivodo/werkstudent-praktikum-social-media-content-creator-short-videos-hamburg-152227
Werkstudent (w/m/d) AI Operational Data Analysis & Troubleshooting,Magazino GmbH,Competitive,Munich,graduate,https://www.arbeitnow.com/jobs/companies/magazino-gmbh/werkstudent-ai-operational-data-analysis-troubleshooting-munich-159969
Werkstudent (w/m/d) AI Engineering Productivity & Automation,Magazino GmbH,Competitive,Munich,graduate,https://www.arbeitnow.com/jobs/companies/magazino-gmbh/werkstudent-ai-engineering-productivity-automation-munich-207203
PR-Trainee Beauty (m/w/d),haebmau AG,Competitive,Munich,graduate,https://www.arbeitnow.com/jobs/companies/haebmau-ag/pr-trainee-beauty-munich-62140
Working Student IT Support Specialist (m/f/d),1KOMMA5˚,Competitive,Hamburg,graduate,https://www.arbeitnow.com/jobs/companies/1komma50/working-student-it-support-specialist-hamburg-21883
Trainee/ Junior-Projektmanager Qualität und Kommunikation (m/w/d),INTERACT TELE SERVICE AG,Competitive,Stralsund,graduate,https://www.arbeitnow.com/jobs/companies/interact-tele-service-ag/trainee-junior-projektmanager-qualitat-und-kommunikation-stralsund-31517
Werkstudent HR Operations (w/m/d),INTERVAL GmbH,Competitive,Berlin,graduate,https://www.arbeitnow.com/jobs/companies/interval-gmbh/werkstudent-hr-operations-berlin-417537
Working Student (f/m/d) AI Operational Data Analysis & Troubleshooting,Magazino GmbH,Competitive,Munich,graduate,https://www.arbeitnow.com/jobs/companies/magazino-gmbh/working-student-ai-operational-data-analysis-troubleshooting-munich-117234
Working Student (f/m/d) AI Engineering Productivity & Automation,Magazino GmbH,Competitive,Munich,graduate,https://www.arbeitnow.com/jobs/companies/magazino-gmbh/working-student-ai-engineering-productivity-automation-munich-65528
"GTM Engineering intern / working student (GTM WerkstudentIn / PraktikantIn) (€2,400/mo.)",Transformance,Competitive,Hamburg,internship,https://www.arbeitnow.com/jobs/companies/transformance/gtm-engineering-intern-eur2400-mo-hamburg-408911
Werkstudent (m/w/d) Product Management & Growth - Web App (Saas/Marketing/UI/UX),arades GmbH,Competitive,Offenbach,graduate,https://www.arbeitnow.com/jobs/companies/arades-gmbh/werkstudent-product-management-growth-web-app-saas-marketing-ui-ux-offenbach-52940
Working Student - Software Engineering (f/m/x) · TypeScript (NestJS or React),OneTutor,Competitive,Munich,graduate,https://www.arbeitnow.com/jobs/companies/onetutor/working-student-software-engineering-typescript-nestjs-or-react-munich-411927
Junior Kosmetiker:in (m/w/d) mit Schwerpunkt Gesichtsbehandlungen,C1 Kosmetik GmbH,Competitive,Munich,graduate,https://www.arbeitnow.com/jobs/companies/c1-kosmetik-gmbh/junior-kosmetikerin-mit-schwerpunkt-gesichtsbehandlungen-munich-303580
Werkstudent Produktmanagement (w/m/d) Techagentur,VT Netzwelt GmbH,Competitive,Berlin,graduate,https://www.arbeitnow.com/jobs/companies/vt-netzwelt-gmbh/werkstudent-produktmanagement-techagentur-berlin-387821
